match_id,competition_id,season_id,home_team,away_team,home_xg_for_avg,home_xg_against_avg,home_goals_for_avg,home_goals_against_avg,home_shot_accuracy_pct,home_possession_pct,home_progressive_passes_pct,home_confederation,away_xg_for_avg,away_xg_against_avg,away_goals_for_avg,away_goals_against_avg,away_shot_accuracy_pct,away_possession_pct,away_progressive_passes_pct,away_confederation,h2h_home_wins,h2h_draws,h2h_away_wins,is_neutral,home_goals,away_goals
7525,43,3,Russia,Saudi Arabia,1.8996335437142855,2.8279214089,1.1428571428571428,2.0,34.09297052154194,39.51548433041145,25.619299849828476,0,1.20417011526,1.85580842598,1.0,1.4,34.88235294117647,50.22208371507619,22.476122150413193,4,0,0,0,0,5,0
7576,43,3,Portugal,Spain,1.9587635508647059,1.393936816405882,1.588235294117647,1.1176470588235294,34.376089204464485,60.87360196173975,18.601257021467248,0,2.49196218013,1.5509245803850003,2.05,0.8,35.809133895267394,68.5629803806298,17.367110927613325,0,0,0,0,1,3,3
7577,43,3,Morocco,Iran,1.4670821647846153,1.193976731923077,1.0,0.8461538461538461,32.36907961187551,44.06597418778426,23.492937938130265,3,1.16676706566,1.4983639490600003,1.0,1.8,22.658730158730158,32.735906143580024,30.1465805942894,4,0,0,0,1,0,1
7578,43,3,Egypt,Uruguay,2.6571094518166665,2.2858104588333332,1.5,2.0,29.156846240179576,52.492717908860804,21.02893175848503,3,1.8181504478538462,1.3336340872461538,1.4615384615384615,0.6923076923076923,35.80392646569117,48.67666628757864,26.26448302876094,1,0,0,0,1,0,1
7532,43,3,Peru,Denmark,0.47638664861999996,1.506255619,0.4,0.8,41.507936507936506,42.50953124235057,26.023412093165014,1,1.40487725595625,1.4570670420437501,1.0625,1.0,37.24061574390521,52.493776016757934,21.544991697124953,0,0,0,0,1,0,1
7530,43,3,France,Australia,1.9352618340043481,1.5059139244565216,1.6956521739130435,0.9565217391304348,35.02343057035425,50.29282799396883,20.426178984761364,0,0.7699388369500001,1.2987033216000001,0.8333333333333334,1.5,28.03062678062678,43.863575818379644,27.18310231051142,4,1,0,0,1,2,1
7529,43,3,Croatia,Nigeria,2.083827879675,2.00137927799,1.5,1.5,36.21561681072551,54.490535653693996,20.9074453140791,0,1.8099485580222219,1.2506135106,1.2222222222222223,0.6666666666666666,28.621685618589645,44.313293804891885,28.12242735267512,3,0,0,0,1,2,0
7531,43,3,Argentina,Iceland,2.5340445147000006,1.471851012675,1.8125,1.0625,44.130580676633315,58.27867402224697,18.739942711858536,1,1.8424244342499998,0.9930440615,0.5,2.0,32.64705882352941,38.638504273049456,31.69642857142857,0,0,0,0,1,1,1
7535,43,3,Costa Rica,Serbia,0.430387705375,2.2663968685249998,0.875,2.375,29.91071428571429,32.31925144926103,26.278983208591228,2,0.903422646,1.6171680999875,0.875,1.75,20.511363636363633,48.391216005431815,21.66626639564989,0,0,0,0,1,0,1
7533,43,3,Brazil,Switzerland,2.5820735579923078,1.0631421391384615,1.5384615384615385,0.5384615384615384,42.43857659035185,58.1746362767894,19.719918062180017,1,1.8524243198529413,2.015524715170588,1.4705882352941178,1.5294117647058822,35.67414350056698,50.46387505988074,22.13393561631794,0,1,0,0,1,1,1
7534,43,3,Germany,Mexico,1.9352479785785712,0.9979933207357143,1.7857142857142858,1.3571428571428572,33.620789126741585,63.422687845937034,19.872947149109166,0,1.287414945411111,1.2691769076666666,0.5555555555555556,1.1111111111111112,27.67738434405101,57.331922472800166,21.834866753719446,2,0,0,0,1,0,1
