match_id,competition_id,season_id,match_date,team,opponent,is_home,goals_for,goals_against,xg_for,xg_against,shot_accuracy_pct,possession_pct,progressive_passes_pct
7525,43,3,2018-06-14,Russia,Saudi Arabia,1,5,0,1.2816009420000003,0.24880649999999999,50.0,40.416666666666664,29.77941176470588
7525,43,3,2018-06-14,Saudi Arabia,Russia,0,0,5,0.24880649999999999,1.2816009420000003,0.0,59.583333333333336,14.628820960698691
7576,43,3,2018-06-15,Portugal,Spain,1,3,3,1.4345957890000003,1.6609466704999998,30.0,33.21917808219178,22.641509433962266
7576,43,3,2018-06-15,Spain,Portugal,0,3,3,1.6609466704999998,1.4345957890000003,41.66666666666667,66.78082191780823,15.826330532212884
7577,43,3,2018-06-15,Morocco,Iran,1,0,1,1.0591950264999999,0.6975558776999999,21.428571428571427,64.82213438735178,20.151133501259448
7577,43,3,2018-06-15,Iran,Morocco,0,1,0,0.6975558776999999,1.0591950264999999,25.0,35.177865612648226,32.63888888888889
7578,43,3,2018-06-15,Egypt,Uruguay,1,0,1,0.36448845500000004,1.9408185930000001,37.5,42.94871794871795,26.16279069767442
7578,43,3,2018-06-15,Uruguay,Egypt,0,1,0,1.9408185930000001,0.36448845500000004,25.0,57.05128205128205,23.976608187134502
7532,43,3,2018-06-16,Peru,Denmark,1,0,1,1.926378192,1.1215676380000001,35.294117647058826,51.971326164874554,25.360230547550433
7532,43,3,2018-06-16,Denmark,Peru,0,1,0,1.1215676380000001,1.926378192,27.27272727272727,48.028673835125446,22.516556291390728
7530,43,3,2018-06-16,France,Australia,1,2,1,1.561557064,0.980031062,33.33333333333333,55.2870090634441,24.9438202247191
7530,43,3,2018-06-16,Australia,France,0,1,2,0.980031062,1.561557064,40.0,44.71299093655589,22.807017543859647
7529,43,3,2018-06-16,Croatia,Nigeria,1,2,0,1.6944666339999999,0.7623215977000002,18.181818181818183,54.202586206896555,24.93573264781491
7529,43,3,2018-06-16,Nigeria,Croatia,0,0,2,0.7623215977000002,1.6944666339999999,15.384615384615385,45.797413793103445,25.391849529780565
7531,43,3,2018-06-16,Argentina,Iceland,1,1,1,2.0805182487,1.0321244945,25.0,78.03921568627452,15.85014409221902
7531,43,3,2018-06-16,Iceland,Argentina,0,1,1,1.0321244945,2.0805182487,22.22222222222222,21.96078431372549,29.1970802919708
7535,43,3,2018-06-17,Costa Rica,Serbia,1,0,1,0.5960217237,1.9925690040000001,30.0,52.28260869565218,22.606382978723406
7535,43,3,2018-06-17,Serbia,Costa Rica,0,1,0,1.9925690040000001,0.5960217237,16.666666666666664,47.71739130434783,25.37313432835821
7533,43,3,2018-06-17,Brazil,Switzerland,1,1,1,1.8665897939999998,0.4721066513,19.047619047619047,54.78775913129319,20.930232558139537
7533,43,3,2018-06-17,Switzerland,Brazil,0,1,1,0.4721066513,1.8665897939999998,28.57142857142857,45.21224086870681,20.385674931129476
7534,43,3,2018-06-17,Germany,Mexico,1,0,1,2.2992588492,0.9932887669999999,34.61538461538461,65.64156945917286,22.648752399232247
7534,43,3,2018-06-17,Mexico,Germany,0,1,0,0.9932887669999999,2.2992588492,33.33333333333333,34.35843054082714,32.79352226720648
7538,43,3,2018-06-18,Sweden,South Korea,1,1,0,2.015124456,0.414372021,25.0,55.529685681024446,21.293800539083556
7538,43,3,2018-06-18,South Korea,Sweden,0,0,1,0.414372021,2.015124456,0.0,44.470314318975554,19.031141868512112
7537,43,3,2018-06-18,Tunisia,England,1,1,2,0.945653212,2.6264497449999995,16.666666666666664,39.23240938166311,19.298245614035086
7537,43,3,2018-06-18,England,Tunisia,0,2,1,2.6264497449999995,0.945653212,38.88888888888889,60.76759061833689,21.074380165289256
7536,43,3,2018-06-18,Belgium,Panama,1,3,0,1.212055155,0.62535498,40.0,62.62833675564682,19.298245614035086
7536,43,3,2018-06-18,Panama,Belgium,0,0,3,0.62535498,1.212055155,28.57142857142857,37.37166324435318,26.408450704225352
7539,43,3,2018-06-19,Poland,Senegal,1,1,2,1.042323384,1.4277506340000001,30.0,60.49638055842813,22.821576763485478
7539,43,3,2018-06-19,Senegal,Poland,0,2,1,1.4277506340000001,1.042323384,14.285714285714285,39.50361944157187,18.53146853146853
7541,43,3,2018-06-19,Colombia,Japan,1,1,2,0.8062560289999999,2.3206739599999997,30.0,40.11406844106464,27.070063694267514
7541,43,3,2018-06-19,Japan,Colombia,0,2,1,2.3206739599999997,0.8062560289999999,42.857142857142854,59.885931558935354,16.22641509433962
7540,43,3,2018-06-19,Russia,Egypt,1,3,1,0.9811507970000001,1.697518253,33.33333333333333,49.1062039957939,22.429906542056074
7540,43,3,2018-06-19,Egypt,Russia,0,1,3,1.697518253,0.9811507970000001,13.333333333333334,50.8937960042061,21.38888888888889
7543,43,3,2018-06-20,Iran,Spain,1,0,1,0.426459236,2.1969543835000005,0.0,24.304267161410017,27.848101265822784
7543,43,3,2018-06-20,Spain,Iran,0,1,0,2.1969543835000005,0.426459236,16.666666666666664,75.69573283858998,14.325452016689846
7544,43,3,2018-06-20,Uruguay,Saudi Arabia,1,1,0,1.8073869310000001,0.2734858323,21.428571428571427,46.666666666666664,19.58041958041958
7544,43,3,2018-06-20,Saudi Arabia,Uruguay,0,0,1,0.2734858323,1.8073869310000001,25.0,53.333333333333336,15.831663326653306
7542,43,3,2018-06-20,Portugal,Morocco,1,1,0,0.8849862430000001,1.4551028735,16.666666666666664,43.340611353711786,28.11387900355872
7542,43,3,2018-06-20,Morocco,Portugal,0,0,1,1.4551028735,0.8849862430000001,23.52941176470588,56.659388646288214,21.727748691099478
7545,43,3,2018-06-21,Argentina,Croatia,1,0,3,1.2180579430000003,1.8317100519999998,30.0,58.342420937840785,13.075060532687651
7545,43,3,2018-06-21,Croatia,Argentina,0,3,0,1.8317100519999998,1.2180579430000003,35.714285714285715,41.657579062159215,27.37226277372263
7547,43,3,2018-06-21,Denmark,Australia,1,1,1,1.014444774,1.412191891,50.0,47.27992087042532,22.474747474747474
7547,43,3,2018-06-21,Australia,Denmark,0,1,1,1.412191891,1.014444774,38.46153846153847,52.720079129574685,24.660633484162897
7546,43,3,2018-06-21,France,Peru,1,1,0,1.862419556,0.625221235,33.33333333333333,44.25228891149543,26.506024096385545
7546,43,3,2018-06-21,Peru,France,0,0,1,0.625221235,1.862419556,16.666666666666664,55.74771108850458,21.100917431192663
7549,43,3,2018-06-22,Nigeria,Iceland,1,2,0,1.312159326,1.552161967,23.52941176470588,60.944700460829495,23.002421307506054
7549,43,3,2018-06-22,Iceland,Nigeria,0,0,2,1.552161967,1.312159326,30.0,39.055299539170505,31.69642857142857
7548,43,3,2018-06-22,Brazil,Costa Rica,1,2,0,3.0963627985,0.158693415,39.130434782608695,71.83908045977012,17.700453857791228
7548,43,3,2018-06-22,Costa Rica,Brazil,0,0,2,0.158693415,3.0963627985,0.0,28.160919540229884,29.756097560975608
7550,43,3,2018-06-22,Serbia,Switzerland,1,1,2,1.153485278,1.5573086895,25.0,38.51276359600444,30.038022813688215
7550,43,3,2018-06-22,Switzerland,Serbia,0,2,1,1.5573086895,1.153485278,26.31578947368421,61.48723640399556,21.627408993576015
7551,43,3,2018-06-23,Germany,Sweden,1,2,1,1.318084832,0.8151666949999999,27.77777777777778,75.42016806722688,18.25525040387722
7551,43,3,2018-06-23,Sweden,Germany,0,1,2,0.8151666949999999,1.318084832,85.71428571428571,24.579831932773107,34.146341463414636
7553,43,3,2018-06-23,South Korea,Mexico,1,1,2,0.821793252,1.8775517199999998,35.294117647058826,42.10526315789473,25.089605734767023
7553,43,3,2018-06-23,Mexico,South Korea,0,2,1,1.8775517199999998,0.821793252,35.714285714285715,57.89473684210527,23.459715639810426
7552,43,3,2018-06-23,Belgium,Tunisia,1,5,2,5.336422204999999,1.1881780826,47.82608695652174,50.424628450106155,26.27551020408163
7552,43,3,2018-06-23,Tunisia,Belgium,0,2,5,1.1881780826,5.336422204999999,29.411764705882355,49.575371549893845,27.807486631016044
7555,43,3,2018-06-24,Poland,Colombia,1,0,3,1.1141978379999997,1.3869427573000002,18.181818181818183,44.97991967871486,27.35294117647059
7555,43,3,2018-06-24,Colombia,Poland,0,3,0,1.3869427573000002,1.1141978379999997,23.076923076923077,55.020080321285135,22.482435597189696
7556,43,3,2018-06-24,Japan,Senegal,1,2,2,0.982192996,1.8782642930000002,42.857142857142854,54.83870967741935,26.08695652173913
7556,43,3,2018-06-24,Senegal,Japan,0,2,2,1.8782642930000002,0.982192996,46.666666666666664,45.16129032258064,28.07017543859649
7554,43,3,2018-06-24,England,Panama,1,6,1,3.168321031,1.0800387518,63.63636363636363,59.92102665350444,14.855072463768115
7554,43,3,2018-06-24,Panama,England,0,1,6,1.0800387518,3.168321031,25.0,40.07897334649556,17.765042979942695
7559,43,3,2018-06-25,Saudi Arabia,Egypt,1,2,1,2.545815476,0.92372594,33.33333333333333,64.00759734093067,15.619694397283531
7559,43,3,2018-06-25,Egypt,Saudi Arabia,0,1,2,0.92372594,2.545815476,12.5,35.99240265906933,26.71232876712329
